OHNE;BOF30/15;Bodenplatten Formate;M;ABC;Agglo Breccia Aurora;50;poliert;30,0;15,0;1,5;;;;;;m²;50,00;m²;;;1;32,00;5;Bodenplatten / Fliesen;31;2;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;180,0;50,0;2,0;;;;;;St;4,50;m²;;;1;43,51;2;Rohplatte;32;1;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;133,0;40,0;2,0;;;;;;St;2,66;m²;;;1;43,51;2;Rohplatte;32;2;;;;;;;;;;
;H-TZ;Trasszement (50 kg Sack);;;;0;;;;;;;;;;St;5,00;St;LAGER02;;5;24,71;50;Verlegematerial;34;1;;;;;;;;;;
;H-TZ;Trasszement (50 kg Sack);;;;0;;;;;;;;;;St;1,00;St;;;1;;50;Verlegematerial;37;2;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;120,0;120,0;3,0;;;;;;St;1,44;m²;;;1;49,43;2;Rohplatte;37;3;;;;;;;;;;
;H-TZ;Trasszement (50 kg Sack);;;;0;;;;;;;;;;St;3,00;St;;;1;0,00;50;Verlegematerial;37;4;;;;;;;;;;
;BOB;Bodenplatten in Bahnen;G;BAB;Baltic braun;0;;;;;;;;;;St;10,00;m²;LAGER02;;1;120,00;5;Bodenplatten / Fliesen;40;1;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;200,0;145,0;3,0;;;;;;St;37,70;m²;LAGER02;;3;63,06;2;Rohplatte;41;1;;;;;;;;;;
;RP;Rohplatten;G;IMP;Impala;50;poliert;200,0;160,0;3,0;;;;;;St;32,00;m²;LAGER02;;3;252,25;2;Rohplatte;41;3;;;;;;;;;;
;FB3;Fensterbank, 3 cm poliert;G;BAB;Baltic braun;;;120,0;30,0;3,0;;;;;;St;43,20;m²;;;2;50,00;4;Fensterbänke;43;1;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;280,0;130,0;2,0;;;;;;St;3,64;m²;;;2;;2;Rohplatte;43;2;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;240,0;200,0;2,0;;;;;;St;48,00;m²;;;10;;2;Rohplatte;45;1;;;;;;;;;;
OHNE;SO;Sockelleisten;G;BAB;Baltic braun;50;poliert;;8,0;1,0;;;;;;m;30,00;m;;;10;;6;;45;2;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;200,0;200,0;2,0;;;;;;St;4,00;m²;;;10;;2;Rohplatte;45;3;;;;;;;;;;
;ABD;Abdeckplatten;M;BC;Bianco Carrara;30;geschliffen C 220;100,0;50,0;2,0;;;;;;St;1,00;m²;;;1;0,00;4;Fensterbänke;47;1;;;;;;;;;;
OHNE;BOF30/30;Bodenplatten Formate;G;BAB;Baltic braun;0;;;;3,0;;;;;;m²;22,00;m²;;;1;0,00;5;Bodenplatten / Fliesen;47;2;;;;;;;;;;
OHNE;BOF30/30;Bodenplatten Formate;G;BAB;Baltic braun;0;;;;3,0;;;;;;m²;30,00;m²;;;1;0,00;5;Bodenplatten / Fliesen;47;3;;;;;;;;;;
;00500;Bodenplatten ;M;AST;Astir Marmor;0;;0,0;0,0;3,0;;;;;;St;100,00;m²;;;1;0,00;5;Bodenplatten / Fliesen;47;4;;;;;;;;;;
;FB;Fensterbänke;G;IMP;Impala;50;poliert;;;3,0;;;;;;St;1,92;m²;;;1;91,00;4;Fensterbänke;48;1;;;;;;;;;;
;FB3;Fensterbank, 3 cm poliert;G;EPP;Epprechtstein;50;poliert;;;3,0;;;;;;St;8,28;m²;;;1;145,00;4;Fensterbänke;48;2;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;;;3,0;;;;;;St;19,76;m²;;;1;;2;Rohplatte;48;3;;;;;;;;;;
;ABD;Abdeckplatten;;;;0;;;;3,0;;;;;;St;60,00;m²;;;3;160,00;4;Fensterbänke;49;1;;;;;;;;;;
;ABD;Abdeckplatten;G;HIM;Himalaya;50;poliert;100,0;65,0;4,0;;;;;;St;1,30;m²;;;3;160,00;4;Fensterbänke;49;2;;;;;;;;;;
;FB;Fensterbänke;M;JGE;Juramarmor gelb;50;poliert;;;3,0;;;;;;St;0,80;m²;;;3;145,00;4;Fensterbänke;50;1;;;;;;;;;;
;BOB;Bodenplatten in Bahnen;G;BAB;Baltic braun;50;poliert;;30,0;2,0;;;;;;St;30,00;m²;;;1;126,15;5;Bodenplatten / Fliesen;51;1;;;;;;;;;;
OHNE;SO;Sockelleisten;G;BAB;Baltic braun;50;poliert;;8,0;1,0;;;;;;m;13,00;m;;;1;117,00;6;;51;2;;;;;;;;;;
;FL30X30;Fliesen Format 30,5 x 30,5;G;BAB;Baltic braun;50;poliert;30,5;30,5;1,0;;;;;;St;15,50;m²;;;1;110,00;5;Bodenplatten / Fliesen;51;3;;;;;;;;;;
;BOB;Bodenplatten in Bahnen;G;BAB;Baltic braun;50;poliert;0,0;30,0;2,0;;;;;;St;30,00;m²;;;1;0,00;5;Bodenplatten / Fliesen;51;4;;;;;;;;;;
OHNE;SO;Sockelleisten;G;BAB;Baltic braun;50;poliert;0,0;8,0;1,0;;;;;;m;20,00;m;;;1;0,00;6;;51;5;;;;;;;;;;
;BOB;Bodenplatten in Bahnen;G;BAB;Baltic braun;50;poliert;0,0;30,0;2,0;;;;;;St;30,00;m²;;;1;0,00;5;Bodenplatten / Fliesen;51;7;;;;;;;;;;
OHNE;SO;Sockelleisten;G;BAB;Baltic braun;50;poliert;0,0;8,0;1,0;;;;;;m;20,00;m;;;1;0,00;6;;51;8;;;;;;;;;;
;F1;Testartikel für Fliesen - 2;G;HIM;Himalaya;50;poliert;40,5;40,5;1,0;;;;;;St;28,80;m²;;;6;150,00;95;Fliesen 1;52;1;;;;;;;;;;
;F1;Testartikel für Fliesen - 2;G;HIM;Himalaya;50;poliert;40,5;40,5;1,0;;;;;;St;28,80;m²;;;6;150,00;95;Fliesen 1;52;2;;;;;;;;;;
;F1;Testartikel für Fliesen - 2;G;HIM;Himalaya;50;poliert;36,0;36,0;1,0;;;;;;St;8,55;m²;;;6;150,00;95;Fliesen 1;52;3;;;;;;;;;;
;F1;Testartikel für Fliesen - 2;G;HIM;Himalaya;50;poliert;36,0;36,0;1,0;;;;;;St;25,01;m²;;;6;150,00;95;Fliesen 1;52;4;;;;;;;;;;
;F1;Testartikel für Fliesen - 2;G;HIM;Himalaya;50;poliert;36,0;36,0;1,0;;;;;;St;45,10;m²;;;6;150,00;95;Fliesen 1;52;5;;;;;;;;;;
;F1;Testartikel für Fliesen - 2;G;HIM;Himalaya;50;poliert;36,0;36,0;1,0;;;;;;St;35,12;m²;;;6;150,00;95;Fliesen 1;52;6;;;;;;;;;;
;F1;Testartikel für Fliesen - 2;G;HIM;Himalaya;50;poliert;36,0;36,0;1,0;;;;;;St;7,13;m²;;;6;150,00;95;Fliesen 1;53;1;;;;;;;;;;
;FB;Fensterbänke;M;JGE;Juramarmor gelb;50;poliert;120,0;30,0;3,0;;;;;;St;3,60;m²;;;1;0,00;4;Fensterbänke;54;1;;;;;;;;;;
;FL-BARD;Keramikfliesen Typ "Bardolino";;;;0;;30,5;30,5;1,0;;;;;;St;30,00;m²;;;6;;95;Fliesen 1;55;1;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;250,0;200,0;4,0;;;;;;St;25,00;m²;;;6;;2;Rohplatte;55;2;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;250,0;200,0;4,0;;;;;;St;25,00;m²;;;6;;2;Rohplatte;55;3;;;;;;;;;;
;KAP;Küchenarbeitsplatten;G;IMP;Impala;50;poliert;200,0;60,0;3,0;;;;;;St;1,20;m²;;;6;;10;Küchenarbeitspl./Waschtische;55;4;;;;;;;;;;
;BOB;Bodenplatten in Bahnen;G;BAB;Baltic braun;50;poliert;0,0;30,0;2,0;;;;;;St;45,00;m²;;;1;84,00;5;Bodenplatten / Fliesen;57;1;;;;;;;;;;
OHNE;BB;Boden in Bahnen freie Längen;G;BAB;Baltic braun;50;poliert;100,0;80,0;2,0;;;;;;m;20,00;m²;;;2;0,00;5;Bodenplatten / Fliesen;58;1;;;;;;;;;;
;FB;Fensterbänke;G;BAB;Baltic braun;50;poliert;120,0;25,0;3,0;;;;;;St;7,50;m²;;;1;58,50;4;Fensterbänke;61;1;;;;;;;;;;
;FB;Fensterbänke;G;BAR;Baltic rot;50;poliert;120,0;25,0;3,0;;;;;;St;7,50;m²;;;1;58,50;4;Fensterbänke;61;2;;;;;;;;;;
;UP;Unmaßplatte;G;BAB;Baltic braun;20;gesägt und abgesäuert;250,0;150,0;3,0;;;;;;St;112,50;m²;;;1;76,50;2;Rohplatte;61;3;;;;;;;;;;
;UP;Unmaßplatte;G;BAR;Baltic rot;20;gesägt und abgesäuert;250,0;150,0;3,0;;;;;;St;112,50;m²;;;1;76,50;2;Rohplatte;61;4;;;;;;;;;;
;AFB;Außenfensterbänke;G;BAB;Baltic braun;50;poliert;125,0;40,0;3,0;;;;;;St;12,50;m²;;;1;67,50;4;Fensterbänke;61;5;;;;;;;;;;
;AFB;Außenfensterbänke;G;BAR;Baltic rot;50;poliert;125,0;40,0;3,0;;;;;;St;12,50;m²;;;1;67,50;4;Fensterbänke;61;6;;;;;;;;;;
;GRA;Grabdenkmal;G;BAB;Baltic braun;55;dreiseitig poliert;120,0;80,0;12,0;;;;;;St;0,96;m²;;;2;;11;Grabmale;63;1;;;;;;;;;;
;FB;Fensterbänke;G;BAB;Baltic braun;0;;120,0;30,0;2,0;;;;;;St;7,20;m²;;;2;0,00;4;Fensterbänke;64;1;;;;;;;;;;
;FB;Fensterbänke;G;BAB;Baltic braun;0;;125,0;30,0;2,0;;;;;;St;7,50;m²;;;2;0,00;4;Fensterbänke;64;2;;;;;;;;;;
;FB;Fensterbänke;G;BAB;Baltic braun;0;;130,0;30,0;2,0;;;;;;St;7,80;m²;;;2;0,00;4;Fensterbänke;64;3;;;;;;;;;;
;FB;Fensterbänke;G;BAB;Baltic braun;0;;135,0;30,0;2,0;;;;;;St;8,10;m²;;;2;0,00;4;Fensterbänke;64;4;;;;;;;;;;
;FB;Fensterbänke;G;BAB;Baltic braun;0;;140,0;30,0;2,0;;;;;;St;8,40;m²;;;2;0,00;4;Fensterbänke;64;5;;;;;;;;;;
;FB;Fensterbänke;G;BAB;Baltic braun;0;;145,0;30,0;2,0;;;;;;St;8,70;m²;;;2;0,00;4;Fensterbänke;64;6;;;;;;;;;;
;FB;Fensterbänke;G;BAB;Baltic braun;0;;150,0;30,0;2,0;;;;;;St;9,00;m²;;;2;0,00;4;Fensterbänke;64;7;;;;;;;;;;
;FB;Fensterbänke;G;BAB;Baltic braun;0;;155,0;30,0;2,0;;;;;;St;9,30;m²;;;2;0,00;4;Fensterbänke;64;8;;;;;;;;;;
;RP;Rohplatten;G;BAB;Baltic braun;50;poliert;300,0;250,0;3,0;;;;;;St;47,11;m²;;;6;45,00;2;Rohplatte;65;1;;;;;;;;;;
;FB3;Fensterbank, 3 cm poliert;G;BAB;Baltic braun;50;poliert;120,0;30,0;3,0;;;;;;St;3,60;m²;;;2;36,00;4;Fensterbänke;66;1;;;;;;;;;;
;FB3;Fensterbank, 3 cm poliert;G;BAB;Baltic braun;50;poliert;125,0;30,0;3,0;;;;;;St;3,75;m²;;;2;37,50;4;Fensterbänke;66;2;;;;;;;;;;
;FB3;Fensterbank, 3 cm poliert;G;BAB;Baltic braun;50;poliert;130,0;30,0;3,0;;;;;;St;3,90;m²;;;2;39,00;4;Fensterbänke;66;3;;;;;;;;;;
;FB3;Fensterbank, 3 cm poliert;G;BAB;Baltic braun;50;poliert;135,0;30,0;3,0;;;;;;St;4,05;m²;;;2;40,50;4;Fensterbänke;66;4;;;;;;;;;;
;FB3;Fensterbank, 3 cm poliert;G;BAB;Baltic braun;50;poliert;140,0;30,0;3,0;;;;;;St;4,20;m²;;;2;42,00;4;Fensterbänke;66;5;;;;;;;;;;
